,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Star Treatment___Arctic Monkeys,0.581,0.767,7,-5.026,0,0.0527,0.243,0.00131,0.141,0.673,120.07,audio_features,0b93tWwuoAC0nXe1CfR30I,spotify:track:0b93tWwuoAC0nXe1CfR30I,https://api.spotify.com/v1/tracks/0b93tWwuoAC0nXe1CfR30I,https://api.spotify.com/v1/audio-analysis/0b93tWwuoAC0nXe1CfR30I,354640,4,Tranquility Base Hotel & Casino,7v6FNgLDS8KmaWA1amUtqe
Ho Hey___The Lumineers,,,,,,,,,,,,,,,,,,,,
Is There Someone Else?___The Weeknd,,,,,,,,,,,,,,,,,,,,
Iron Man 3___Brian Tyler,0.381,0.582,2,-11.52,1,0.0406,0.0328,0.94,0.0843,0.0697,133.991,audio_features,7u5XBHnht6dyoRXRBb5soK,spotify:track:7u5XBHnht6dyoRXRBb5soK,https://api.spotify.com/v1/tracks/7u5XBHnht6dyoRXRBb5soK,https://api.spotify.com/v1/audio-analysis/7u5XBHnht6dyoRXRBb5soK,143453,4,Iron Man 3 (Original Motion Picture Soundtrack),7x6etI9jQ2ePxZUOQaPrbi
she's all yours___Loote,,,,,,,,,,,,,,,,,,,,
Conquer___RIVVRS,,,,,,,,,,,,,,,,,,,,
All for One___Fabvl,0.605,0.527,11,-9.03,0,0.0474,0.114,0,0.115,0.276,134.987,audio_features,0bZ79lAtgjvKPazK6WmNUe,spotify:track:0bZ79lAtgjvKPazK6WmNUe,https://api.spotify.com/v1/tracks/0bZ79lAtgjvKPazK6WmNUe,https://api.spotify.com/v1/audio-analysis/0bZ79lAtgjvKPazK6WmNUe,184889,4,All for One,5Dw16TwnM6GDaJGH1MwAwJ
Phantom Regret by Jim___The Weeknd,,,,,,,,,,,,,,,,,,,,
Just A Dream___Kaivon,0.418,0.478,11,-8.063,0,0.0577,0.66,0,0.0821,0.306,157.757,audio_features,0Ri8OoQxg17NqCySClgZeO,spotify:track:0Ri8OoQxg17NqCySClgZeO,https://api.spotify.com/v1/tracks/0Ri8OoQxg17NqCySClgZeO,https://api.spotify.com/v1/audio-analysis/0Ri8OoQxg17NqCySClgZeO,216000,4,Just A Dream,69KlcGk2mcZgiGKOH5CvUT
Confident___Demi Lovato,,,,,,,,,,,,,,,,,,,,
I'll Find You (feat. Tori Kelly)___Lecrae,0.736,0.681,5,-5.856,0,0.101,0.126,0,0.396,0.166,135.118,audio_features,6m60IwLIkZ2Fmz4J9FsQ1o,spotify:track:6m60IwLIkZ2Fmz4J9FsQ1o,https://api.spotify.com/v1/tracks/6m60IwLIkZ2Fmz4J9FsQ1o,https://api.spotify.com/v1/audio-analysis/6m60IwLIkZ2Fmz4J9FsQ1o,217507,4,All Things Work Together,5DPZqC3ySZkJClCvZlIq6K
Symphonicsuite (Aot) Part2-6th: Thanksat___Hiroyuki Sawano,,,,,,,,,,,,,,,,,,,,
Little Do You Know___Alex & Sierra,0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,audio_features,1almCHdsfikRPfVB9VrEdT,spotify:track:1almCHdsfikRPfVB9VrEdT,https://api.spotify.com/v1/tracks/1almCHdsfikRPfVB9VrEdT,https://api.spotify.com/v1/audio-analysis/1almCHdsfikRPfVB9VrEdT,185200,4,It's About Us,3Yk19X5zgXDSrG8uqrPnXC
You'll Never Be Alone___Adventure Club,0.507,0.908,7,-4.141,1,0.0454,0.00281,0.753,0.0998,0.0563,127.894,audio_features,2syWTrYh5rlbiuamJzRcV3,spotify:track:2syWTrYh5rlbiuamJzRcV3,https://api.spotify.com/v1/tracks/2syWTrYh5rlbiuamJzRcV3,https://api.spotify.com/v1/audio-analysis/2syWTrYh5rlbiuamJzRcV3,240000,4,Love // Chaos,3Iz1TViTuDQ6C7Cyn5CD7k
Lost Boy___Ruth B.,0.71,0.0565,7,-15.099,1,0.0534,0.965,0,0.0889,0.348,123.994,audio_features,4h0zU3O9R5xzuTmNO7dNDU,spotify:track:4h0zU3O9R5xzuTmNO7dNDU,https://api.spotify.com/v1/tracks/4h0zU3O9R5xzuTmNO7dNDU,https://api.spotify.com/v1/audio-analysis/4h0zU3O9R5xzuTmNO7dNDU,275280,4,Lost Boy,7drYNu2imHk188vP81icR3
Lied To___Curbi,,,,,,,,,,,,,,,,,,,,
Saoirse___Symon van Gent,0.58,0.123,5,-27.519,1,0.0328,0.89,0.86,0.0939,0.102,140.001,audio_features,1RiLeuzt9obdImY1RXp5rQ,spotify:track:1RiLeuzt9obdImY1RXp5rQ,https://api.spotify.com/v1/tracks/1RiLeuzt9obdImY1RXp5rQ,https://api.spotify.com/v1/audio-analysis/1RiLeuzt9obdImY1RXp5rQ,179000,4,Saoirse,4yohb3aNNPF9mm9y8WaC2V
Dusk Till Dawn (feat. Sia) - Radio Edit___ZAYN,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,audio_features,3e7sxremeOE3wTySiOhGiP,spotify:track:3e7sxremeOE3wTySiOhGiP,https://api.spotify.com/v1/tracks/3e7sxremeOE3wTySiOhGiP,https://api.spotify.com/v1/audio-analysis/3e7sxremeOE3wTySiOhGiP,239000,4,Icarus Falls,1DF9B2hfwX4EdgEFwGcRwh
Sweet Mistake___KAAZE,,,,,,,,,,,,,,,,,,,,
Feel Good___Jitwam,0.625,0.707,2,-4.761,1,0.0337,0.22,0,0.213,0.479,138.064,audio_features,0Ev562zA4pmUsBqjxsxxdx,spotify:track:0Ev562zA4pmUsBqjxsxxdx,https://api.spotify.com/v1/tracks/0Ev562zA4pmUsBqjxsxxdx,https://api.spotify.com/v1/audio-analysis/0Ev562zA4pmUsBqjxsxxdx,248156,4,Feel Good (feat. Daya),1fP5UnRB0WNWNHSZRHsRCR
White Noise Retreat___Noise Retreat,,,,,,,,,,,,,,,,,,,,
Sing___Travis,0.635,0.677,10,-5.548,1,0.0906,0.161,0,0.154,0.252,94.949,audio_features,3Lm7TiQTaOwrO1nJfvt2je,spotify:track:3Lm7TiQTaOwrO1nJfvt2je,https://api.spotify.com/v1/tracks/3Lm7TiQTaOwrO1nJfvt2je,https://api.spotify.com/v1/audio-analysis/3Lm7TiQTaOwrO1nJfvt2je,213733,4,Exam Week: Mood Boost,7xbhWriCDTK6phNvC1lNaE
"My Heart Will Go On - Love Theme from ""Titanic""___Céline Dion",,,,,,,,,,,,,,,,,,,,
Ninnu Kori Tittle Song___Dr,,,,,,,,,,,,,,,,,,,,
Chitti___Ram Miriyala,,,,,,,,,,,,,,,,,,,,
CHALE BHI JAO___Vishal Mishra,0.629,0.533,8,-8.211,0,0.0538,0.234,0.0104,0.0896,0.518,96.973,audio_features,1QCpA6UkR369JSPzZtvnf2,spotify:track:1QCpA6UkR369JSPzZtvnf2,https://api.spotify.com/v1/tracks/1QCpA6UkR369JSPzZtvnf2,https://api.spotify.com/v1/audio-analysis/1QCpA6UkR369JSPzZtvnf2,153158,4,CHALE BHI JAO,2iEzjiG88cFTktTVcTLyze
Thunder - Live/Acoustic___Imagine Dragons,,,,,,,,,,,,,,,,,,,,
Take Me Home - Tiësto Remix___Jess Glynne,,,,,,,,,,,,,,,,,,,,
Looking At U___Mike Perry,,,,,,,,,,,,,,,,,,,,
Sad Boy (feat. Ava Max & Kylie Cantrall)___R3HAB,,,,,,,,,,,,,,,,,,,,
Non-Stop___Leslie Odom Jr.,0.77,0.482,6,-9.529,1,0.351,0.211,0,0.223,0.441,91.994,audio_features,7qfoq1JFKBUEIvhqOHzuqX,spotify:track:7qfoq1JFKBUEIvhqOHzuqX,https://api.spotify.com/v1/tracks/7qfoq1JFKBUEIvhqOHzuqX,https://api.spotify.com/v1/audio-analysis/7qfoq1JFKBUEIvhqOHzuqX,385438,4,Hamilton (Original Broadway Cast Recording),1kCHru7uhxBUdzkm4gzRQc
Blind to you___Aimer,0.502,0.488,10,-8.125,0,0.0304,0.145,8.06e-06,0.102,0.42,81.01,audio_features,3QrRKBM0VEI2aVIW29Fkp2,spotify:track:3QrRKBM0VEI2aVIW29Fkp2,https://api.spotify.com/v1/tracks/3QrRKBM0VEI2aVIW29Fkp2,https://api.spotify.com/v1/audio-analysis/3QrRKBM0VEI2aVIW29Fkp2,281560,4,星の消えた夜に,1mR8kxKKuBobjRXaZjHWw4
Avocado Toast___Sexy Pigeon,,,,,,,,,,,,,,,,,,,,
Monster___Imagine Dragons,0.483,0.768,3,-5.431,1,0.0732,0.209,0.000646,0.103,0.405,179.957,audio_features,4uyDe8SeM0Nsgzp9KMtXWn,spotify:track:4uyDe8SeM0Nsgzp9KMtXWn,https://api.spotify.com/v1/tracks/4uyDe8SeM0Nsgzp9KMtXWn,https://api.spotify.com/v1/audio-analysis/4uyDe8SeM0Nsgzp9KMtXWn,250507,4,,
You Oughta Know - Rock___Our Last Night,,,,,,,,,,,,,,,,,,,,
All My Friends___Kodaline,,,,,,,,,,,,,,,,,,,,
"Main Jahaan Rahoon (From ""Namastey London"")___Rahat Fateh Ali Khan",,,,,,,,,,,,,,,,,,,,
Unstructure 02___Melmann,0.192,0.109,7,-29.054,1,0.0381,0.924,0.898,0.104,0.0451,72.34,audio_features,2ZnPJq6GsiZSCrYy1dW9dK,spotify:track:2ZnPJq6GsiZSCrYy1dW9dK,https://api.spotify.com/v1/tracks/2ZnPJq6GsiZSCrYy1dW9dK,https://api.spotify.com/v1/audio-analysis/2ZnPJq6GsiZSCrYy1dW9dK,424000,4,Música Decomposta,5QKtNRm6eBhdjSzh4DgI9o
Awakening___Coherent Energy,0.443,0.237,0,-11.469,1,0.0348,0.909,0.884,0.113,0.228,66.659,audio_features,0hy03LYCJlrykVPyjUjqf2,spotify:track:0hy03LYCJlrykVPyjUjqf2,https://api.spotify.com/v1/tracks/0hy03LYCJlrykVPyjUjqf2,https://api.spotify.com/v1/audio-analysis/0hy03LYCJlrykVPyjUjqf2,147275,5,Awakening,5wuSwnIfUwHyqWSX12zFkT
Fake___Lauv,,,,,,,,,,,,,,,,,,,,
Riding Shotgun (feat. Bonnie McKee)___Kygo,0.817,0.854,6,-4.744,0,0.117,0.117,1.07e-05,0.0413,0.622,102.0,audio_features,52Lqdrj2yYAeFSTS2M24Si,spotify:track:52Lqdrj2yYAeFSTS2M24Si,https://api.spotify.com/v1/tracks/52Lqdrj2yYAeFSTS2M24Si,https://api.spotify.com/v1/audio-analysis/52Lqdrj2yYAeFSTS2M24Si,198280,4,Kids in Love,47oyrKaeobswT4T8zyaxdM
Vellipomaake___Sid Sriram,,,,,,,,,,,,,,,,,,,,
Orochimaru's Theme___Crescent Sun,0.249,0.363,5,-14.815,1,0.0341,0.000239,0.864,0.103,0.0397,79.969,audio_features,3MdkYclEBIHKb1OGsSKdfN,spotify:track:3MdkYclEBIHKb1OGsSKdfN,https://api.spotify.com/v1/tracks/3MdkYclEBIHKb1OGsSKdfN,https://api.spotify.com/v1/audio-analysis/3MdkYclEBIHKb1OGsSKdfN,157867,4,Orochimaru's Theme,6wnSL0hXUtSSCSqM1JAdg3
Best Friends___The Weeknd,0.737,0.564,4,-7.045,0,0.105,0.436,0,0.351,0.528,90.0,audio_features,1E5Xu8dur0fAjSP1VpVhAZ,spotify:track:1E5Xu8dur0fAjSP1VpVhAZ,https://api.spotify.com/v1/tracks/1E5Xu8dur0fAjSP1VpVhAZ,https://api.spotify.com/v1/audio-analysis/1E5Xu8dur0fAjSP1VpVhAZ,163504,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
More Than Friends___Mokita,,,,,,,,,,,,,,,,,,,,
Jesus Christ 2005 God Bless America___The 1975,0.525,0.286,2,-15.92,1,0.0347,0.879,0.00799,0.334,0.574,78.945,audio_features,6zjBevD0Y6eCbOXaqQ79Xj,spotify:track:6zjBevD0Y6eCbOXaqQ79Xj,https://api.spotify.com/v1/tracks/6zjBevD0Y6eCbOXaqQ79Xj,https://api.spotify.com/v1/audio-analysis/6zjBevD0Y6eCbOXaqQ79Xj,264007,4,Notes On A Conditional Form,0o5xjCboti8vXhdoUG9LYi
All of Me___John Legend,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,269560,4,Love In The Future (Expanded Edition),4OTAx9un4e6NfoHuVRiOrC
After the Fall___Kodaline,0.441,0.777,3,-4.733,1,0.0343,0.0012,0.00925,0.109,0.0762,131.031,audio_features,6GgoVr2PPTZ8bIwnEUic6M,spotify:track:6GgoVr2PPTZ8bIwnEUic6M,https://api.spotify.com/v1/tracks/6GgoVr2PPTZ8bIwnEUic6M,https://api.spotify.com/v1/audio-analysis/6GgoVr2PPTZ8bIwnEUic6M,215987,4,In A Perfect World (Expanded Edition),1ttGpGzOEi6JDDOHO4qD1y
Khairiyat (Bonus Track)___Pritam,,,,,,,,,,,,,,,,,,,,
Spaceships___AREA21,0.441,0.766,6,-5.921,0,0.0533,0.0181,1.6e-06,0.509,0.52,150.054,audio_features,1Szod3mLKHywl09AOy08Xc,spotify:track:1Szod3mLKHywl09AOy08Xc,https://api.spotify.com/v1/tracks/1Szod3mLKHywl09AOy08Xc,https://api.spotify.com/v1/audio-analysis/1Szod3mLKHywl09AOy08Xc,169608,4,Spaceships,7FdgB34edYkJcORi7dAXGi
Love Is Gone___SLANDER,,,,,,,,,,,,,,,,,,,,
Collide___Howie Day,,,,,,,,,,,,,,,,,,,,
Wrapped in Warmth___Multicolored Dreams,0.216,0.148,0,-19.054,1,0.0447,0.175,0.814,0.108,0.0311,120.107,audio_features,6vUO4F4h0Fg01FyiWFa8hb,spotify:track:6vUO4F4h0Fg01FyiWFa8hb,https://api.spotify.com/v1/tracks/6vUO4F4h0Fg01FyiWFa8hb,https://api.spotify.com/v1/audio-analysis/6vUO4F4h0Fg01FyiWFa8hb,212400,4,Wrapped in Warmth,6gX6pglJXaKDnCdC6x2Ls6
Taking Advantage of Uniquely Human Capabilities___Developer Tea,,,,,,,,,,,,,,,,,,,,
changes___XXXTENTACION,0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,audio_features,7AFASza1mXqntmGtbxXprO,spotify:track:7AFASza1mXqntmGtbxXprO,https://api.spotify.com/v1/tracks/7AFASza1mXqntmGtbxXprO,https://api.spotify.com/v1/audio-analysis/7AFASza1mXqntmGtbxXprO,121887,4,?,2Ti79nwTsont5ZHfdxIzAm
Instead___Ryan Amador,0.365,0.26,1,-9.514,1,0.0531,0.804,0,0.101,0.234,161.637,audio_features,2kuFVY6hWX6yavTiWHE3SQ,spotify:track:2kuFVY6hWX6yavTiWHE3SQ,https://api.spotify.com/v1/tracks/2kuFVY6hWX6yavTiWHE3SQ,https://api.spotify.com/v1/audio-analysis/2kuFVY6hWX6yavTiWHE3SQ,355529,3,Ryan Amador,1t1kSv0ySypwFXKgyocRRk
Emotion Sickness___Said The Sky,,,,,,,,,,,,,,,,,,,,
Run (with Mariah Angeliq) - Latin Version___OneRepublic,0.782,0.82,2,-3.516,1,0.05,0.0315,0.0106,0.117,0.489,104.972,audio_features,0RpCZ17BXI0x8b14UFrgDQ,spotify:track:0RpCZ17BXI0x8b14UFrgDQ,https://api.spotify.com/v1/tracks/0RpCZ17BXI0x8b14UFrgDQ,https://api.spotify.com/v1/audio-analysis/0RpCZ17BXI0x8b14UFrgDQ,136133,4,Run (with Mariah Angeliq) [Latin Version],7tXGtR2l4iE3kvuCzFqLxL
Don’t Give Up On Me___Andy Grammer,,,,,,,,,,,,,,,,,,,,
Good Vibe___BRKLYN,,,,,,,,,,,,,,,,,,,,
Hit It___American Authors,,,,,,,,,,,,,,,,,,,,
Budapest___George Ezra,0.717,0.455,5,-8.303,1,0.0276,0.0846,0,0.11,0.389,127.812,audio_features,2ixsaeFioXJmMgkkbd4uj1,spotify:track:2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/tracks/2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/audio-analysis/2ixsaeFioXJmMgkkbd4uj1,200733,4,Wanted on Voyage (Expanded Edition),6mcMKGEgukjyiR5IKElQ2E
Hey Badhulu Cheppavey___Haricharan,,,,,,,,,,,,,,,,,,,,
Love___Imagine Dragons,0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,audio_features,4gvrJnKCKIPiacNsWVQwEU,spotify:track:4gvrJnKCKIPiacNsWVQwEU,https://api.spotify.com/v1/tracks/4gvrJnKCKIPiacNsWVQwEU,https://api.spotify.com/v1/audio-analysis/4gvrJnKCKIPiacNsWVQwEU,188369,3,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],5NzoKSfocwLOb6o0lXfTM9
Lost___Maroon 5,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,audio_features,18XlJEroUwFo0tLZxscgXE,spotify:track:18XlJEroUwFo0tLZxscgXE,https://api.spotify.com/v1/tracks/18XlJEroUwFo0tLZxscgXE,https://api.spotify.com/v1/audio-analysis/18XlJEroUwFo0tLZxscgXE,172598,4,JORDI (Deluxe),2dnLi41uRXC7aNqDmcEc0P
Labyrinth___Direct,,,,,,,,,,,,,,,,,,,,
Surf to Go___Jordy Sánchez,,,,,,,,,,,,,,,,,,,,
Not About Angels___Birdy,0.405,0.111,0,-11.879,1,0.0369,0.964,4.37e-05,0.0872,0.219,116.86,audio_features,5sF7hdYvhrcgNq8NZjfK8L,spotify:track:5sF7hdYvhrcgNq8NZjfK8L,https://api.spotify.com/v1/tracks/5sF7hdYvhrcgNq8NZjfK8L,https://api.spotify.com/v1/audio-analysis/5sF7hdYvhrcgNq8NZjfK8L,189475,4,Not About Angels,7DRvJhjucsH34zMXtEh0ER
I Wanna Remember (feat. Carrie Underwood) - R3HAB Remix___NEEDTOBREATHE,0.482,0.768,9,-3.888,1,0.063,0.153,0,0.313,0.209,103.344,audio_features,2qiHL4Fr48VywjkOO21Yv8,spotify:track:2qiHL4Fr48VywjkOO21Yv8,https://api.spotify.com/v1/tracks/2qiHL4Fr48VywjkOO21Yv8,https://api.spotify.com/v1/audio-analysis/2qiHL4Fr48VywjkOO21Yv8,195146,4,I Wanna Remember (feat. Carrie Underwood) [R3HAB Remix],0MBxW0pcdz25OiTdGHuJc7
Aao Milo Chalo___Pritam,,,,,,,,,,,,,,,,,,,,
It's Time___Imagine Dragons,0.656,0.884,2,-4.748,1,0.0372,0.0162,0,0.144,0.86,105.009,audio_features,7MXlTgQeo3IVlMpLnZuhxc,spotify:track:7MXlTgQeo3IVlMpLnZuhxc,https://api.spotify.com/v1/tracks/7MXlTgQeo3IVlMpLnZuhxc,https://api.spotify.com/v1/audio-analysis/7MXlTgQeo3IVlMpLnZuhxc,240307,4,Night Visions,6nxDQi0FeEwccEPJeNySoS
"Bezubaan Kab Se (From ""Street Dancer 3D"")___Siddharth Basrur",,,,,,,,,,,,,,,,,,,,
Less Than I Do___The Band CAMINO,0.524,0.579,9,-6.939,1,0.0521,0.0198,3.41e-06,0.103,0.462,76.991,audio_features,4D7hWrWdoVToQ7Kpy0alI1,spotify:track:4D7hWrWdoVToQ7Kpy0alI1,https://api.spotify.com/v1/tracks/4D7hWrWdoVToQ7Kpy0alI1,https://api.spotify.com/v1/audio-analysis/4D7hWrWdoVToQ7Kpy0alI1,211694,4,Less Than I Do,4XvZuXstRqzTDiwm6ubGw4
Alone___Marshmello,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,audio_features,3MEYFivt6bilQ9q9mFWZ4g,spotify:track:3MEYFivt6bilQ9q9mFWZ4g,https://api.spotify.com/v1/tracks/3MEYFivt6bilQ9q9mFWZ4g,https://api.spotify.com/v1/audio-analysis/3MEYFivt6bilQ9q9mFWZ4g,273803,4,Alone,7ePC9qS9mSOTY9E0YPP6yg
All Too Well___Taylor Swift,,,,,,,,,,,,,,,,,,,,
All Comes Down___Kodaline,0.469,0.725,8,-6.413,1,0.0418,0.135,0.000327,0.113,0.159,87.999,audio_features,4iKruuMnHRJNxXM07LuYLW,spotify:track:4iKruuMnHRJNxXM07LuYLW,https://api.spotify.com/v1/tracks/4iKruuMnHRJNxXM07LuYLW,https://api.spotify.com/v1/audio-analysis/4iKruuMnHRJNxXM07LuYLW,295507,4,In A Perfect World (Expanded Edition),1ttGpGzOEi6JDDOHO4qD1y
Heavy (feat. Kiiara)___Linkin Park,,,,,,,,,,,,,,,,,,,,
willow___Taylor Swift,,,,,,,,,,,,,,,,,,,,
Born For This___The Score,0.411,0.675,5,-6.251,0,0.0591,0.063,0,0.092,0.545,130.134,audio_features,7uCBGNn991AM68fR4tSDco,spotify:track:7uCBGNn991AM68fR4tSDco,https://api.spotify.com/v1/tracks/7uCBGNn991AM68fR4tSDco,https://api.spotify.com/v1/audio-analysis/7uCBGNn991AM68fR4tSDco,237375,4,Carry On,4JnL4N9xWOWrQIF7rCdEXH
Nevada___Vicetone,,,,,,,,,,,,,,,,,,,,
Coming Home___Sheppard,,,,,,,,,,,,,,,,,,,,
Boulevard of Broken Dreams___Green Day,0.496,0.682,8,-4.095,1,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,audio_features,5GorCbAP4aL0EJ16frG2hd,spotify:track:5GorCbAP4aL0EJ16frG2hd,https://api.spotify.com/v1/tracks/5GorCbAP4aL0EJ16frG2hd,https://api.spotify.com/v1/audio-analysis/5GorCbAP4aL0EJ16frG2hd,262333,4,Greatest Hits: God's Favorite Band,3id4t9IqRoB1f1smOERtrY
Crazy___Lost Frequencies,0.805,0.66,4,-5.342,1,0.0582,0.0367,6.4e-05,0.215,0.617,114.954,audio_features,7bi5vk9KoY6Flkat31ViYD,spotify:track:7bi5vk9KoY6Flkat31ViYD,https://api.spotify.com/v1/tracks/7bi5vk9KoY6Flkat31ViYD,https://api.spotify.com/v1/audio-analysis/7bi5vk9KoY6Flkat31ViYD,161946,4,THE ALBUM,2gNPnKP1PDkB5SZz3IMKuX
Afterlight___The Light the Heat,,,,,,,,,,,,,,,,,,,,
She's Like The Wind___Calum Scott,,,,,,,,,,,,,,,,,,,,
Stay the Night___James Blunt,0.528,0.886,11,-6.249,0,0.0329,0.0159,0,0.0758,0.8,96.001,audio_features,7FFl1IHSsPWsfUCladsCl9,spotify:track:7FFl1IHSsPWsfUCladsCl9,https://api.spotify.com/v1/tracks/7FFl1IHSsPWsfUCladsCl9,https://api.spotify.com/v1/audio-analysis/7FFl1IHSsPWsfUCladsCl9,216333,4,Some Kind of Trouble (Deluxe Edition),5b6T7m3DbNlWTwnaiuic2W
Carry You Home (feat. StarGate & Aloe Blacc)___Tiësto,0.518,0.724,8,-6.327,1,0.0839,0.0308,0,0.116,0.334,121.884,audio_features,6bolfjXj78EIQRB48C6QTc,spotify:track:6bolfjXj78EIQRB48C6QTc,https://api.spotify.com/v1/tracks/6bolfjXj78EIQRB48C6QTc,https://api.spotify.com/v1/audio-analysis/6bolfjXj78EIQRB48C6QTc,192731,4,Carry You Home (feat. StarGate & Aloe Blacc),7apwmztwcRn7DpWVx69VDr
Shotgun___George Ezra,,,,,,,,,,,,,,,,,,,,
Mad World - Acoustic Version___Hardwell,0.692,0.383,5,-6.65,1,0.0326,0.617,0,0.106,0.38,125.025,audio_features,7BRYEE8wi0gye3T5V7zro9,spotify:track:7BRYEE8wi0gye3T5V7zro9,https://api.spotify.com/v1/tracks/7BRYEE8wi0gye3T5V7zro9,https://api.spotify.com/v1/audio-analysis/7BRYEE8wi0gye3T5V7zro9,169200,4,Mad World (Acoustic Version),1gIRc9FnLBNpKvOAE7xiBl
Ignite___Alan Walker,,,,,,,,,,,,,,,,,,,,
River Flows In You___Yiruma,,,,,,,,,,,,,,,,,,,,
The Reckoning___Within Temptation,0.31,0.825,1,-4.53,1,0.0563,0.00356,0,0.641,0.475,89.885,audio_features,4GSjFSK1SM78wPTVbsSB0S,spotify:track:4GSjFSK1SM78wPTVbsSB0S,https://api.spotify.com/v1/tracks/4GSjFSK1SM78wPTVbsSB0S,https://api.spotify.com/v1/audio-analysis/4GSjFSK1SM78wPTVbsSB0S,251107,4,The Reckoning,2UAqWPHRSXHBHkCxsL3oMj
Just Imagine It___MKTO,0.699,0.761,10,-4.337,1,0.0457,0.0466,0,0.107,0.443,120.044,audio_features,0mtmrbRFsectINNpHdDkUQ,spotify:track:0mtmrbRFsectINNpHdDkUQ,https://api.spotify.com/v1/tracks/0mtmrbRFsectINNpHdDkUQ,https://api.spotify.com/v1/audio-analysis/0mtmrbRFsectINNpHdDkUQ,250747,4,Bad Girls EP,1TCiADBOmKJgdxULZPrK2a
Princess Leia's Theme___John Williams,0.0784,0.0649,5,-18.985,1,0.0425,0.857,0.951,0.0712,0.0308,73.13,audio_features,7hlYfQpGJWdheP2quiyz8j,spotify:track:7hlYfQpGJWdheP2quiyz8j,https://api.spotify.com/v1/tracks/7hlYfQpGJWdheP2quiyz8j,https://api.spotify.com/v1/audio-analysis/7hlYfQpGJWdheP2quiyz8j,263227,3,Star Wars: A New Hope (Original Motion Picture Soundtrack),55gMu4AvAKCbCaGv3GIXgy
Mitwa___Shankar-Ehsaan-Loy,0.63,0.63,4,-7.525,1,0.0364,0.295,1.26e-05,0.0934,0.517,107.103,audio_features,4BTPzhEsyW3blWcxcuhLM0,spotify:track:4BTPzhEsyW3blWcxcuhLM0,https://api.spotify.com/v1/tracks/4BTPzhEsyW3blWcxcuhLM0,https://api.spotify.com/v1/audio-analysis/4BTPzhEsyW3blWcxcuhLM0,382973,4,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),4hYTERVUXY74XJdm8tyXBV
Tu Bin Bataye___A.R. Rahman,0.528,0.427,1,-10.848,1,0.0325,0.399,0.0188,0.0931,0.11,120.076,audio_features,1jjSjma0cfNUhyOUzQqt6J,spotify:track:1jjSjma0cfNUhyOUzQqt6J,https://api.spotify.com/v1/tracks/1jjSjma0cfNUhyOUzQqt6J,https://api.spotify.com/v1/audio-analysis/1jjSjma0cfNUhyOUzQqt6J,357627,4,Rang De Basanti (Original Motion Picture Soundtrack),0NKNDn80mhKn4Xi6nHrsqQ
Endhuko Emo___Aalaap Raju,0.827,0.629,7,-5.135,0,0.0357,0.0577,0.000192,0.178,0.703,91.006,audio_features,6Yqw4HtJuFXleJtgzYXWzT,spotify:track:6Yqw4HtJuFXleJtgzYXWzT,https://api.spotify.com/v1/tracks/6Yqw4HtJuFXleJtgzYXWzT,https://api.spotify.com/v1/audio-analysis/6Yqw4HtJuFXleJtgzYXWzT,330505,4,Rangam,3rpmVMH5kV6jYkzSmlpn5u
Pillagali___Shreya Ghoshal,0.748,0.577,11,-7.038,0,0.0791,0.335,1.69e-06,0.0603,0.645,134.025,audio_features,55iQGZi7Wo0QepOOJbrwn1,spotify:track:55iQGZi7Wo0QepOOJbrwn1,https://api.spotify.com/v1/tracks/55iQGZi7Wo0QepOOJbrwn1,https://api.spotify.com/v1/audio-analysis/55iQGZi7Wo0QepOOJbrwn1,286758,4,Athadu,6nlrhHVOHgVohenouAbuje
Nobody Compares To You (feat. Katie Pearlman)___Gryffin,,,,,,,,,,,,,,,,,,,,
