,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Working for You___Jake Scott,0.548,0.497,10,-8.489,1,0.0375,0.42,0,0.105,0.118,109.906,audio_features,57ZmUMnoKaHa29g5xvpDZa,spotify:track:57ZmUMnoKaHa29g5xvpDZa,https://api.spotify.com/v1/tracks/57ZmUMnoKaHa29g5xvpDZa,https://api.spotify.com/v1/audio-analysis/57ZmUMnoKaHa29g5xvpDZa,242517,4,Working for You,508G5EcAvh0Mwm7uoXCn69
That Would Be Enough___Phillipa Soo,,,,,,,,,,,,,,,,,,,,
Eden___The Script,0.54,0.752,11,-5.212,1,0.0267,0.159,0,0.363,0.462,84.033,audio_features,7CZKnz9mEt8Z638tyY5cKL,spotify:track:7CZKnz9mEt8Z638tyY5cKL,https://api.spotify.com/v1/tracks/7CZKnz9mEt8Z638tyY5cKL,https://api.spotify.com/v1/audio-analysis/7CZKnz9mEt8Z638tyY5cKL,271520,4,Eden,0YiCDTDr522Wac8BbC8wNy
Sign___FLOW,0.363,0.914,11,-2.899,0,0.0983,0.00183,0,0.335,0.678,177.968,audio_features,0xmWQKzc5m9rLv2ucDWxwD,spotify:track:0xmWQKzc5m9rLv2ucDWxwD,https://api.spotify.com/v1/tracks/0xmWQKzc5m9rLv2ucDWxwD,https://api.spotify.com/v1/audio-analysis/0xmWQKzc5m9rLv2ucDWxwD,236427,4,MICROCOSM,6L0bHUXswPcOee9qM1UCIa
Lost___Blake Rose,0.608,0.578,2,-8.654,1,0.267,0.0584,3.98e-06,0.486,0.462,80.224,audio_features,0EqrXD3S4qEtO4lZGL7epD,spotify:track:0EqrXD3S4qEtO4lZGL7epD,https://api.spotify.com/v1/tracks/0EqrXD3S4qEtO4lZGL7epD,https://api.spotify.com/v1/audio-analysis/0EqrXD3S4qEtO4lZGL7epD,201000,4,Lost,2YK1rUczXJtuMRRdqsGLNl
Something Lite___B Beatz,,,,,,,,,,,,,,,,,,,,
Holding on to You___Twenty One Pilots,,,,,,,,,,,,,,,,,,,,
honey___Coastal Club,,,,,,,,,,,,,,,,,,,,
Ghost in Your Stereo___The Midnight,0.689,0.82,5,-9.658,1,0.0391,0.287,0.0168,0.103,0.616,95.008,audio_features,2UOVpHcFcjZyjwwEvFe8K0,spotify:track:2UOVpHcFcjZyjwwEvFe8K0,https://api.spotify.com/v1/tracks/2UOVpHcFcjZyjwwEvFe8K0,https://api.spotify.com/v1/audio-analysis/2UOVpHcFcjZyjwwEvFe8K0,249867,4,Horror Show,2Qse49swFybD2LtrWM5kTq
Fall Into Me___Forest Blakk,0.45,0.483,2,-6.754,1,0.0572,0.179,0,0.127,0.206,118.305,audio_features,7Lv78wiIJcKgND9Zi7AIOt,spotify:track:7Lv78wiIJcKgND9Zi7AIOt,https://api.spotify.com/v1/tracks/7Lv78wiIJcKgND9Zi7AIOt,https://api.spotify.com/v1/audio-analysis/7Lv78wiIJcKgND9Zi7AIOt,226067,4,Fall Into Me,6nRIGu1lglm6SZC3oG3L4l
