,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,albumName,albumID
13538,Chord Overstreet,Hold On,198853,2022-01-07 18:34:00,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,5vjLSffimiIP26QG5WcN2K,4,Hold On,2EfmyRWheMtmVTCIsptsLi
13539,Lewis Capaldi,Hold Me While You Wait,133630,2022-01-07 18:47:00,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958,60iSKGrGazRzICtMjADNSM,4,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70
13540,Bon Jovi,Someday I'll Be Saturday Night,278933,2022-01-08 05:31:00,0.565,0.864,4,-5.441,1,0.0443,0.148,0.0,0.319,0.675,126.572,4R9MweXSxCektsdVJ2uS8V,4,Cross Road,0tBfLeYdX3oBnl5NVpot4m
13541,The Weeknd,Dawn FM,96240,2022-01-08 05:35:00,0.28,0.478,9,-8.755,0,0.037,0.674,5.85e-05,0.483,0.0807,111.65,6krYS8KtmNAYyb5uTZiYW4,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
13542,The Weeknd,Gasoline,170817,2022-01-08 05:54:00,0.728,0.741,6,-7.075,0,0.0473,0.000582,0.00206,0.33,0.31,123.006,3KyKxJ4P3pVCgaZwaq2rUC,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
13543,The Weeknd,A Tale By Quincy,96232,2022-01-08 18:47:00,0.447,0.513,5,-8.67,0,0.127,0.679,2.98e-05,0.096,0.572,67.289,759ndr57jb0URg4j9YSWml,3,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
13544,The Weeknd,How Do I Make You Love Me?,149864,2022-01-08 18:53:00,0.805,0.498,7,-7.927,0,0.0737,0.0203,2.37e-05,0.085,0.636,121.006,2Ghp894n1laIf2w98VeAOJ,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
13545,The Weeknd,Best Friends,163504,2022-01-08 19:07:00,0.737,0.564,4,-7.045,0,0.105,0.436,0.0,0.351,0.528,90.0,1E5Xu8dur0fAjSP1VpVhAZ,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
13546,Vancouver Sleep Clinic,Someone To Stay,2040,2022-01-08 19:08:00,0.436,0.473,1,-7.24,1,0.0307,0.588,4.35e-05,0.103,0.242,108.906,2xlV2CuWgpPyE9e0GquKDN,4,Revival,7mhJTJjSZtFVDZwR7CU9xC
13547,The Weeknd,"Here We Go… Again (feat. Tyler, the Creator)",61318,2022-01-08 19:08:00,0.469,0.623,1,-4.432,1,0.0302,0.345,0.0,0.588,0.198,134.943,1NhjYYcYTRywc0di98xHxf,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
